target,sol_range,SiO2_RMSE,TiO2_RMSE,Al2O3_RMSE,FeOT_RMSE,MgO_RMSE,CaO_RMSE,Na2O_RMSE,K2O_RMSE
scct lanke0101,27-127,2.494059609017661,0.0,0.9897811205850852,3.2321355169608843,0.3858324334042795,0.9600520819205591,0.48596982073650075,0.0754983443527075
scct lanke0101,227-327,4.573412292807198,0.0,0.5514526271584895,5.654750215526766,0.36912057650583546,0.7026023057178229,0.5442425929675111,0.10511898020814318
scct lanke0101,427-527,1.6603162349383922,0.0,0.2695366394388711,4.731093953833511,0.5385629025471385,1.4273226684951104,0.4301162633521313,0.11
scct lanke0101,127-227,3.4481879299133333,0.0,1.04484448603608,5.160794512475769,0.6887670143089037,0.8528774824088173,0.43046486500061765,0.12041594578792296
scct lbhvo20406,427-527,3.870406955347199,1.4159802258506293,2.40998962653369,1.17,0.6981403870282822,1.0244998779892567,0.16124515496597075,0.5790077719685636
scct lbhvo20406,27-127,5.760153354440021,1.4608901396066714,3.7013060757882017,0.9082951062292477,1.6522812512805842,1.3101908257959998,0.4086971168644741,0.7120159174250718
scct lbhvo20406,227-327,3.9963796115984787,1.4268847185389573,3.3468866129583783,2.205311769342376,0.6254998001598403,1.834298230931928,0.405030863021573,0.9771642645942391
scct lbhvo20406,127-227,3.8500000000000014,1.3199999999999998,2.9800000000000004,0.5200000000000014,0.8099999999999996,0.9800000000000004,0.11000000000000032,0.85
scct lca530106,27-127,0.030000000000000002,0.017320508075688773,2.8830134697338243,1.4715977711317723,0.8569130644353604,3.941480263386675,0.017320508075688773,0.5723192582233567
scct lca530106,427-527,0.03,0.01,2.8943047524405583,1.3038404810405297,0.9221984602025749,3.1542986542177682,0.14916433890176298,0.41969751011889506
scct lca530106,327-427,0.03,0.01,3.08,0.39,1.17,3.789999999999999,0.02,0.726
scct lca530106,227-327,0.030000000000000002,0.01414213562373095,3.0313968177503035,1.0961295543867067,0.9179324593890337,3.7767578688605408,0.016329931618554522,0.5812079375461648
scct lca530106,127-227,0.03,0.01,1.78,0.35,0.7200000000000001,3.25,0.02,0.004
scct lcmb0006,427-527,20.627922823202542,0.04123105625617661,0.38897300677553454,3.0368157665554887,0.4065095324835569,0.06324555320336758,0.02,1.47
scct lcmb0006,227-327,21.701131306915784,0.06403124237432849,0.7382185764844087,9.615650437351253,0.4900680224893955,0.12041594578792295,0.12806248474865697,1.7458617738335795
scct lcmb0006,27-127,22.135881881385867,0.05686240703077327,0.4261846235299126,11.740432984633348,0.40099875311526845,0.13291601358251257,0.02,1.9640179904131903
scct lcmb0006,327-427,24.310000000000002,0.08,1.9899999999999998,11.969999999999999,0.33,0.039999999999999994,0.02,1.09
scct lcmb0006,127-227,25.230000000000004,0.06,0.12,3.360000000000001,0.62,0.03,0.02,1.74
scct ljmn10106,27-127,2.28715981076968,0.12516655570345728,3.3420801905400173,3.0481633814479165,0.2831371870077591,0.16020819787597224,0.8176592607355869,1.164517067285834
scct ljmn10106,227-327,1.97914122790669,0.1358921140709301,3.1217836781771626,2.8466471505966453,0.6064651680022521,0.1236931687685297,1.0543560435956474,1.2369047389889543
scct ljmn10106,127-227,1.6500000000000004,0.16000000000000003,3.26,2.59,0.33000000000000007,0.2599999999999998,1.1799999999999997,1.4699999999999998
scct ljmn10106,327-427,0.120000000000001,0.13,4.1,1.3000000000000007,0.18000000000000016,0.1200000000000001,1.04,0.81
scct ljmn10106,427-527,2.6142876658852967,0.130384048104053,2.6744812581134307,3.578169923298781,0.2801785145224381,0.07905694150420962,1.1385297536735697,1.1478893674914843
scct ljsc10304,27-127,2.3692896263085506,1.5734463236263678,0.9708072242554993,6.7205778521394,0.3593048844644336,1.2010134609292829,0.8926365441768559,1.3474420210161178
scct ljsc10304,127-227,2.3299999999999983,1.5699999999999998,0.5899999999999999,7.849999999999998,0.020000000000000018,0.3100000000000005,0.73,1.06
scct ljsc10304,227-327,11.919238650182319,1.3401678999289603,2.6662520511009453,5.1723157289554536,0.6448643268161142,1.057213318115129,0.4356604182158393,0.9021363533302492
scct ljsc10304,427-527,3.4155892610207075,1.5901257811883938,0.9475230867899761,7.287348626215159,0.4455333881989092,1.0000000000000002,0.7885429601486529,0.7402702209328699
scct lside0101,227-327,4.346320282721925,0.025495097567963924,1.22413234578619,2.2713872413131164,1.3748090776540574,1.8583998493327538,0.2804460732476031,0.01
scct lside0101,27-127,3.4922008342400157,0.0270801280154532,0.8891569040388766,12.825891781860626,0.9057777505179365,2.5305137818237626,0.403773864103824,0.01
scct lside0101,427-527,1.7871765441612077,0.03807886552931954,0.4457016939613311,1.5750714269518058,1.065692263273033,1.6748283494137537,0.4556862956025779,0.01
scct lside0101,127-227,3.372513899155939,0.03162277660168379,0.367967389859482,9.581641299902643,0.9577055915050302,0.18357559750685826,0.4062634613154375,0.01
scct nte010301,227-327,2.139918222736564,0.010000000000000009,0.6465678618675688,1.6371010964506751,0.10606601717798213,3.644783944213978,0.9135918125727703,0.5020956084253276
scct nte010301,127-227,3.5056097900365377,0.014142135623730963,1.2278436382536655,2.6926752496355744,0.5203844732503076,2.647309955407564,1.4065027550630678,0.39528470752104733
scct nte010301,27-127,1.8377613192867746,0.008164965809277268,1.2287934461630778,2.2324426084448397,0.5129327441292868,2.7037813027930593,1.219808728175583,0.736500735460144
scct nte010301,427-527,1.9160636732634977,0.007071067811865481,0.3820994634908559,2.5512839904644093,0.243310501211929,2.7366494112326487,1.3124404748406688,0.6720119046564577
scct nte010301,327-427,4.300000000000004,0.010000000000000009,1.5999999999999996,3.8900000000000006,0.04999999999999982,2.3900000000000006,1.4200000000000002,0.44999999999999996
scct nte020106,127-227,1.3520355024924489,0.007071067811865481,2.514537730876195,2.9222593998480013,2.000399960007998,3.2015621187164243,0.5676706791793988,0.8202438661763952
scct nte020106,227-327,1.8816216410320123,0.0552268050859363,2.1428252378577213,3.487764326900544,1.4047953587622646,3.0584391444002943,0.6166441437328339,0.8952373986826064
scct nte020106,427-527,0.7857798673928974,0.057008771254956916,2.796462050520265,3.1567388235329203,1.58,2.9390899952196095,0.6850182479321262,0.33015148038438363
scct nte020106,27-127,0.8973107971414743,0.02943920288775948,2.485028504196012,3.3530930994133366,1.2503332889007364,3.3033770599191374,0.561931193890023,0.7953825075605657
scct nte020106,327-427,0.9500000000000028,0.010000000000000009,2.9700000000000006,2.130000000000001,2.04,3.09,0.5,0.51
scct nte030106,427-527,0.6463745044476911,0.06,0.9879271228182772,1.8075950874020417,0.886143329264516,1.9460858151684888,1.350333292191228,0.7567364138192374
scct nte030106,127-227,2.9171989990400036,0.045276925690687066,1.7436886189913618,0.3536240942017384,0.8360023923410751,1.8233211456021667,1.4887074930959407,0.6604922406811454
scct nte030106,27-127,2.8216366409113243,0.041231056256176596,0.9866272514649761,1.1822295321411425,0.8433662707665438,1.7280528541299498,1.1947803145348521,1.0110225846471812
scct nte030106,227-327,1.0179636535751175,0.0608276253029822,0.5692099788303074,1.8505404615949357,0.5532630477449224,1.9460858151684888,1.355322839769182,0.5689024520952604
scct nte040106,227-327,4.8034622929715995,0.02236067977499788,0.2154065922853807,0.5220153254455278,0.6354919354327012,3.463018914184559,1.1428035701729322,0.7752418977325723
scct nte040106,427-527,4.564219538979252,0.014142135623730963,0.5990826320300064,1.9458288722290042,0.9041294155152793,3.27001529048413,1.1178774530332025,0.32695565448543623
scct nte040106,127-227,4.432437252798958,0.0,0.33771289581536634,0.721387551874857,1.1513687506615766,3.2470371109674745,1.0452990002865208,0.5632051136131488
scct nte040106,27-127,5.497581286347658,0.0,0.4636809247747856,0.7451398079107923,0.9049125187921024,3.43806631698692,1.1171541224617725,0.6088513775955509
scct nte050301,427-527,3.749166574053492,0.010000000000000009,2.3010649708341577,2.4074987019726533,0.585875413377281,2.7850044883267246,1.1252777434926897,0.23086792761230396
scct nte050301,127-227,2.133205725350149,0.011547005383792526,1.4819131778436505,2.598089041327621,0.3859620015839208,2.592096963206945,1.0697974886242099,0.45511903204912585
scct nte050301,27-127,4.299430194804886,0.024494897427831803,0.9853256652836496,3.4100879754047417,0.20824664863249706,2.3807281799203093,1.2578420674578612,0.42122836245121636
scct nte050301,227-327,4.234300414472261,0.007071067811865481,1.801679771768558,3.2533828548143564,0.31120732639190885,2.980553639846127,1.1899999999999997,0.5813776741499453
scct pmian0106,427-527,14.217549015213562,0.02,1.0664739409224522,2.3103895775388184,0.7267736924242649,0.6389835678638383,0.2803569153775237,1.0425769356103496
scct pmian0106,227-327,14.296496074213433,0.02,1.5538983235720418,2.7263253657624946,1.1374752744565484,0.36345563690772525,0.25317977802344327,1.295414991421668
scct pmian0106,327-427,14.918863897763803,0.02,1.1226976440698533,0.03535533905932735,0.6915562160808043,0.79852989925237,0.8492643875731516,1.0855873986004074
scct pmian0106,27-127,15.814479350988993,0.07050835816716036,1.1898319209031163,2.782675998797868,0.9820677893389758,0.9383496150156403,1.0520388368713933,1.1859474813715105
scct pmian0106,127-227,14.903693054631349,0.02,1.4297435667512783,2.2237730699571543,0.7897890013583797,0.5897457079114695,0.9147312902340955,1.2698556348393835
scct pmidn0302,227-327,11.883027111529,0.05354126134736335,1.0503015440021657,1.6285371759138116,4.023385804684077,4.265446440096668,0.3441898700814227,0.6666833331250053
scct pmidn0302,27-127,12.450618458534498,0.054467115461227296,1.1019074371289088,1.7755187035530393,4.319587171632648,4.105955024920108,0.3213513134665341,0.7799358948016177
scct pmidn0302,127-227,10.079999999999998,0.04000000000000001,0.27,1.5099999999999998,3.3499999999999996,3.7600000000000016,0.28,0.8
scct pmidn0302,427-527,10.632708968085225,0.0223606797749979,1.0290043731685494,1.422620820879548,4.360240819037408,3.293098844553562,0.3501428280002319,0.4682413907377262
scct pmien0602,27-127,3.019199673202596,0.01732050807568877,0.9897137633342952,2.5506992505324235,2.2189336778431805,0.565302279021292,0.37532208390483324,1.0028293307770104
scct pmien0602,227-327,4.171678319333837,0.009999999999999998,2.3711811402758753,1.5001333274079345,2.9103693923624196,0.4101219330881976,0.3324154027718932,0.8149233092751734
scct pmien0602,127-227,3.592547842409338,0.019999999999999997,2.2996086623597503,1.315009505669066,2.527864711569826,0.5121035051627747,0.25,1.0412012293500235
scct pmien0602,427-527,1.506734880461724,0.019999999999999997,1.867310900733994,3.8948684188300895,2.2514550850505546,0.3001666203960727,0.2316246964380094,0.8945389874119518
scct pmifa0306,327-427,3.1500000000000057,0.01,0.8300000000000001,0.5300000000000011,2.6999999999999993,1.3599999999999999,0.64,0.01
scct pmifa0306,227-327,2.6548320725298895,0.01,0.9055385138137416,5.682452522165644,2.3678471234435716,1.3727587794899243,0.4570193285482209,0.2605762844159077
scct pmifa0306,27-127,2.7248608527164624,0.01,2.140381585917178,8.383163682842735,1.6576288285781406,1.3905634349668003,0.4277849927241487,0.6597726881282674
scct pmifa0306,127-227,3.9200000000000017,0.01,2.66,1.5500000000000007,0.8399999999999999,1.85,0.7,0.19999999999999998
scct pmifa0306,427-527,1.5282997088267787,0.01,1.2431009613060395,4.862149730314772,1.8798005213319844,1.8462123388169631,0.7288689868556626,0.022360679774997897
scct pmifs0505,27-127,0.8650722513177734,0.02,2.253341962508132,32.32603787970311,45.63635064288117,4.110145982808883,0.5094850341275983,0.2079062288629179
scct pmifs0505,427-527,1.400714103591448,0.03807886552931954,1.2218428704215611,29.557368793585127,45.075900989331316,3.506315730221681,0.34014702703389893,0.02
scct pmifs0505,327-427,1.4200000000000017,0.02,1.47,36.7,45.03,4.1499999999999995,0.65,0.02
scct pmifs0505,227-327,3.2192235088604826,0.017320508075688773,1.6560696442682192,34.7793784686654,45.029990006661116,4.100398354631738,0.35632382276051466,0.02
scct pmifs0505,127-227,0.46000000000000085,0.01,1.6199999999999999,34.65,45.230000000000004,3.98,0.49,0.02
scct pmior0507,27-127,14.235356218467688,0.030000000000000002,16.577988418381768,45.39678292566557,4.065566791153889,1.5792297700672524,1.0271319292087069,13.830607361934616
scct pmior0507,127-227,15.299999999999997,0.030000000000000002,16.05,45.43,4.199999999999999,1.7799999999999998,1.31,14.34
scct pmior0507,427-527,17.436570763771183,0.02,16.26018757579383,45.45500027499725,4.20566879342632,1.7801123560045302,1.16400171821179,14.727501485316509
scct pmior0507,227-327,16.21260929030241,0.03109126351029605,16.68928298839308,45.413423125767565,4.002986385187938,1.7866915421153888,1.2814835153056006,14.757558515328112
scct sherg02,27-127,11.411570882223007,0.11101801655587258,2.2466697576635517,4.995715664446887,0.8241965784932619,1.3331260255504738,0.8152760268767874,0.2518928343561999
scct sherg02,127-227,12.594746920839654,0.0651920240520265,1.8501081049495471,4.487772275862492,0.4306390600026896,1.3905754204644938,1.2114866899805379,0.48877397639399744
scct sherg02,227-327,12.053962004254036,0.08062257748298551,1.0890821823902919,6.330387033981415,0.7074249076757193,1.4709180806557518,1.3197348218486924,0.610982814815605
scct sherg02,427-527,11.051049723895009,0.0905538513813742,1.9008550707510568,5.751704095309493,0.31599050618649915,0.9004998611882192,0.8235593481953803,0.324499614791759
scct tapag0206,227-327,,,,,,7.969213679320354,,
scct tapag0206,127-227,,,,,,6.990000000000002,,
scct tapag0206,427-527,,,,,,5.8340594786135025,,
scct tapag0206,327-427,,,,,,12.14,,
scct tapag0206,27-127,,,,,,8.754939558138977,,
scct tserp0102,127-227,4.7970511775464715,0.007071067811865475,2.2240953216982406,0.07382411530116702,10.383621718841649,0.31693847983480955,,2.1505929414931133
scct tserp0102,427-527,4.125869605307469,0.01,1.7256448070214216,0.07071067811865482,9.786623523973933,0.3605551275463989,,1.065950280266392
scct tserp0102,227-327,4.656957161065582,0.0,1.8384776310850233,0.16985287751463043,8.301280021779775,0.36055512754639896,,2.05526154053444
scct tserp0102,27-127,4.208538938871783,0.005773502691896258,1.762658976281761,0.12192894105447949,9.498598142182175,0.4825280648141964,,1.6670232951781647
scct tsrich0404,27-127,15.92633165546919,,4.303047757113556,1.5403051645696706,0.5109990215254822,1.7805055461862511,0.6704923564068422,10.42765937303286
scct tsrich0404,227-327,22.482253000978353,,5.070034516647791,2.724233837246722,0.6378871373526824,2.176235281397671,0.7020327627682343,23.730750093496834
scct tsrich0404,127-227,24.223464863639965,,6.9782662603256975,6.593879738060136,0.6146543744251726,2.2426992665089984,0.8567671795768089,18.520784270651177
scct tsrich0404,427-527,24.682013694186296,,7.596199707748605,5.615594358569714,0.8210054811022882,1.735583475376509,0.6942621983083912,15.53648930743365
